1	10.19	32	1707
2	4.40	74	326
3	6.56	32	851
4	11.63	127	1095
5	11.06	66	1353
6	17.71	49	955
7	4.88	38	1238
8	6.38	86	1594
9	0.33	60	1213
10	16.96	161	862
11	1.92	58	717
12	10.61	142	1354
13	21.95	36	507
14	13.61	119	777
15	26.08	143	1038
16	1.96	72	937
17	20.97	189	1780
18	16.68	151	2311
19	4.76	46	1093
20	40.25	152	1065
21	18.67	216	1281
22	12.19	157	856
23	8.11	93	773
24	0.67	95	1126
25	26.19	95	1162
26	5.91	207	711
27	7.45	65	670
28	11.95	164	985
29	29.90	77	934
30	14.49	89	513
31	16.63	63	1025
32	4.13	57	432
33	26.50	153	659
34	5.67	66	1047
35	7.64	52	1071
36	9.65	8	2479
37	19.38	46	1076
38	9.63	40	2287
39	12.93	48	439
40	4.46	81	682
41	5.19	94	1945
42	12.74	171	940
43	16.47	89	993
44	19.15	134	818
45	4.99	26	821
46	21.17	41	1016
47	4.89	113	1049
48	9.02	94	382
49	8.12	8	470
50	2.53	144	1114
51	22.27	158	1212
52	9.38	241	1022
53	31.91	114	1052
54	7.10	109	325
55	3.34	159	761
56	20.45	70	459
57	26.08	112	1230
58	9.86	113	1323
59	9.02	43	1268
60	2.74	88	1066
61	17.56	69	1341
62	7.54	146	672
63	10.01	12	1646
64	2.19	74	816
65	10.48	55	495
66	34.30	70	638
67	21.85	162	1282
68	3.46	81	962
69	23.40	54	560
70	12.32	29	939
71	5.01	61	684
72	24.60	13	1233
73	5.87	56	1803
74	0.97	64	1716
75	14.76	25	851
76	9.82	43	920
77	8.45	106	1422
78	5.24	132	1577
79	10.53	87	729
80	10.02	66	1129
81	7.01	163	1194
82	2.57	137	724
83	1.07	172	1100
84	17.04	1	1030
85	12.57	132	1325
86	7.41	57	1240
87	13.90	64	1123
88	8.55	20	1037
89	26.00	26	746
90	6.75	107	806
91	4.99	144	478
92	13.15	81	511
93	10.23	76	1198
94	22.84	74	1102
95	9.33	47	596
96	13.91	66	518
97	2.54	143	1168
98	3.15	56	1114
99	29.12	6	1054
100	13.93	112	800
101	10.25	19	1093
102	12.29	174	1291
103	6.22	78	1018
104	3.57	80	193
105	1.79	74	1200
106	8.47	71	886
107	6.26	13	941
108	11.24	99	674
109	6.58	50	844
110	8.13	75	696
111	11.72	100	2809
112	15.78	44	1186
113	16.66	125	627
114	1.92	20	430
115	3.52	133	1055
116	21.97	159	539
117	14.58	186	662
118	25.14	34	701
119	21.47	113	812
120	13.78	136	760
121	17.66	116	2115
122	7.66	78	749
123	18.47	105	949
124	3.97	116	781
125	10.54	61	690
126	6.07	32	947
127	3.15	22	929
128	18.05	74	1080
129	35.51	43	1465
130	1.94	67	749
131	13.48	54	1456
132	9.90	153	1666
133	2.85	92	1202
134	5.98	157	596
135	3.66	50	1501
136	5.27	102	493
137	14.51	64	602
138	9.34	9	1285
139	9.10	1	818
140	16.46	142	1180
141	8.65	120	881
142	15.58	119	894
143	13.87	164	508
144	3.22	148	960
145	29.39	50	1595
146	6.01	78	1133
147	24.69	55	819
148	9.73	107	915
149	3.58	62	1320
150	13.10	111	857
151	10.91	72	443
152	0.38	101	2193
153	7.15	141	1227
154	3.32	64	830
155	5.79	99	358
156	13.49	114	767
157	9.65	81	469
158	7.93	15	883
159	2.75	57	497
160	14.18	25	885
161	12.83	0	968
162	5.37	77	747
163	11.97	33	1110
164	0.43	160	1829
165	28.46	80	883
166	0.25	72	1571
167	11.18	99	798
168	6.14	26	640
169	10.23	2	1249
170	12.10	127	750
171	1.95	100	319
172	14.13	127	939
173	32.34	139	604
174	12.41	98	1409
175	8.53	111	450
176	7.54	103	378
177	25.29	147	1615
178	31.54	32	1406
179	23.74	78	270
180	10.98	8	795
181	15.66	138	986
182	0.17	82	701
183	19.08	88	1736
184	12.25	76	870
185	2.27	68	1058
186	13.80	95	446
187	26.68	57	1070
188	11.81	96	1428
189	11.41	163	929
190	10.76	148	1239
191	17.84	148	1491
192	9.50	187	1045
193	10.10	16	1088
194	7.10	75	890
195	9.59	125	1001
196	15.65	183	758
197	14.22	100	434
198	5.62	123	1350
199	18.44	120	883
200	1.65	49	1298
201	11.43	104	906
202	2.13	135	737
203	11.92	117	442
204	9.41	52	327
205	34.53	130	1226
206	25.97	217	1036
207	4.43	55	266
208	5.73	105	593
209	1.07	82	1069
210	4.56	61	785
211	26.17	43	562
212	5.07	143	1319
213	22.90	135	1798
214	25.92	52	923
215	11.27	102	1359
216	9.09	15	859
217	3.35	25	480
218	15.97	31	1308
219	7.11	122	1357
220	4.43	86	802
221	2.05	145	1374
222	32.16	6	983
223	22.20	134	1553
224	16.69	4	433
225	8.28	186	743
226	19.65	126	1415
227	7.53	17	558
228	10.73	96	1663
229	4.85	46	1281
230	4.26	73	1053
231	13.60	87	733
232	12.32	58	930
233	20.26	102	1437
234	14.75	24	2119
235	9.13	73	1243
236	5.68	97	1584
237	5.46	0	1794
238	38.32	27	1193
239	34.06	54	304
240	15.56	67	1095
241	4.10	106	818
242	21.06	23	1149
243	10.99	72	653
244	9.25	100	1106
245	7.10	90	942
246	1.89	67	843
247	0.26	162	549
248	8.86	79	704
249	6.33	173	843
250	18.24	66	1461
251	17.23	157	875
252	27.34	78	937
253	27.26	145	1154
254	16.41	89	1337
255	7.33	110	1019
256	16.71	60	743
257	28.51	25	285
258	4.96	138	474
259	29.33	88	650
260	26.07	72	1217
261	12.22	139	1550
262	11.18	52	1702
263	1.95	54	621
264	30.98	55	1633
265	16.34	77	930
266	13.43	48	803
267	1.66	102	1214
268	7.47	43	971
269	10.42	122	867
270	10.79	76	707
271	10.71	106	1617
272	12.81	63	1164
273	10.71	126	440
274	1.79	146	1451
275	6.30	105	1234
276	11.36	162	1156
277	21.08	12	1043
278	6.38	48	1683
279	14.87	59	1002
280	19.07	88	593
281	15.96	98	350
282	1.87	204	1112
283	7.24	68	298
284	2.03	83	763
285	16.25	6	846
286	17.25	106	751
287	31.43	43	681
288	22.92	41	1090
289	3.36	53	1624
290	12.04	12	396
291	18.54	11	735
292	6.80	107	453
293	12.56	113	838
294	4.98	100	1157
295	4.98	66	970
296	13.74	18	1040
297	15.97	97	1452
298	7.48	234	1054
299	12.26	73	938
300	13.40	180	859
301	2.58	89	1058
302	9.54	127	1118
303	7.57	136	850
304	7.08	81	522
305	16.94	58	983
306	13.60	67	994
307	7.21	46	895
308	5.68	89	705
309	11.16	21	1260
310	10.24	14	311
311	4.13	72	831
312	4.84	70	419
313	18.70	128	590
314	5.61	72	1255
315	5.82	73	411
316	14.51	84	1125
317	29.07	130	812
318	27.85	37	1173
319	3.40	14	848
320	18.44	88	894
321	12.38	185	945
322	31.07	54	867
323	15.74	74	355
324	14.33	79	1329
325	17.80	107	854
326	13.21	2	860
327	34.05	2	1543
328	5.67	106	1682
329	36.99	38	1151
330	39.17	16	985
331	4.32	56	1281
332	19.45	18	622
333	26.38	23	748
334	1.49	55	1063
335	11.28	93	642
336	0.51	122	1011
337	0.50	213	1288
338	23.67	192	1577
339	3.05	38	731
340	33.58	97	732
341	6.17	105	759
342	23.88	66	1429
343	6.54	23	424
344	27.54	133	416
345	32.40	124	510
346	1.24	106	1273
347	3.49	74	684
348	8.84	160	977
349	18.73	93	578
350	14.52	48	1324
351	17.11	34	887
352	9.38	124	1322
353	13.54	33	803
354	1.39	197	822
355	32.78	51	541
356	16.34	12	1650
357	3.59	13	680
358	3.31	104	895
359	4.19	94	1174
360	19.82	95	977
361	6.99	117	1746
362	4.96	144	1541
363	7.21	122	1238
364	4.61	42	221
365	6.32	56	354
366	10.27	120	563
367	8.16	147	788
368	7.61	99	785
369	21.40	82	1030
370	7.24	93	791
371	4.37	75	525
372	12.48	85	1002
373	16.21	69	547
374	12.41	186	978
375	27.07	111	1091
376	27.79	33	855
377	17.46	90	472
378	33.96	66	362
379	10.50	85	1007
380	19.39	160	793
381	22.28	38	604
382	23.61	171	1338
383	19.54	121	489
384	10.47	154	545
385	7.20	142	629
386	8.86	100	1055
387	15.47	136	804
388	7.83	59	1498
389	25.82	135	468
390	2.53	81	1624
391	5.01	52	1144
392	0.75	69	1287
393	3.66	102	1048
394	1.75	111	748
395	10.12	61	1436
396	2.43	131	1831
397	8.60	101	1070
398	33.85	113	685
399	18.98	125	1108
400	11.36	60	1967
401	11.04	145	1413
402	2.15	65	798
403	6.54	98	1166
404	5.97	183	496
405	4.17	44	632
406	8.35	118	532
