80
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
6min	125	1250
